,x,y,mag275,uncert275,chi275,snr275,sharpness275,roundness275,crowding275,mag336,uncert336,chi336,snr336,sharpness336,roundness336,crowding336,field,RA,dec,QF1,Foreground
21,3815.68,3815.94,17.802,0.011,4.5,100.6,-0.04,0.006,0.505,17.887,0.011,4.18,101.9,-0.008,0.002,0.564,8,308.72236721922184,60.14456436679894,1,0
22,2250.13,1399.12,17.876,0.004,1.69,282.7,-0.018,0.013,0.287,17.962,0.003,1.55,312.1,-0.016,0.014,0.282,8,308.785836014753,60.14703750847224,1,0
23,1944.13,2057.08,17.894,0.005,1.68,238.8,-0.008,0.024,0.333,18.151,0.004,1.48,299.4,-0.021,0.021,0.275,8,308.77627494710697,60.15345072084371,1,0
24,3606.34,2785.85,17.808,0.006,2.73,172.7,-0.032,0.026,0.283,18.096,0.006,2.24,194.5,-0.033,0.01,0.307,8,308.74459459593186,60.14119122070163,1,0
25,1719.98,718.81,18.054,0.005,1.89,238.7,-0.031,0.008,0.203,17.981,0.004,2.0,244.6,-0.053,0.011,0.193,8,308.8046474346168,60.14859345780003,1,0
26,276.52,2851.12,18.112,0.034,7.71,32.0,-0.098,0.18,0.814,18.12,0.029,9.44,37.3,-0.085,0.319,0.846,8,308.7784250561107,60.173749663946175,0,0
27,176.34,3685.83,17.938,0.01,4.02,113.7,-0.065,0.013,0.254,18.057,0.006,2.57,170.7,-0.063,-0.012,0.257,8,308.76324480232194,60.17909834035359,1,0
28,1342.15,2504.89,18.118,0.01,3.22,106.7,-0.096,0.047,0.021,18.211,0.006,2.43,178.9,-0.098,0.057,0.02,8,308.7739171320995,60.161624063204236,1,0
29,1643.19,3473.01,17.954,0.008,3.31,140.4,-0.08,0.042,0.111,18.205,0.007,2.81,160.9,-0.095,0.047,0.118,8,308.7519176101999,60.163789881523584,1,0
30,340.12,3415.8,17.823,0.041,7.72,26.3,-0.029,0.034,0.922,18.664,0.021,5.59,51.0,-0.032,0.066,0.82,8,308.76677035461205,60.17609726428443,0,0
31,1422.28,2167.97,18.17,0.011,2.16,97.0,-0.041,0.038,0.305,18.47,0.006,1.99,186.7,-0.021,0.029,0.318,8,308.7796224374996,60.15908087582061,1,0
32,2331.88,2927.74,18.15,0.016,2.29,68.7,-0.062,0.011,0.249,18.345,0.005,1.68,233.7,-0.019,-0.0,0.264,8,308.75526213007225,60.15426684489683,1,0
33,1545.05,785.79,18.112,0.006,2.78,167.6,-0.069,-0.015,0.076,18.2,0.006,2.39,196.1,-0.094,0.026,0.063,8,308.80519166112424,60.15063706683625,1,0
34,2753.01,2096.58,18.076,0.006,2.3,193.1,-0.029,0.007,0.307,18.241,0.005,2.06,201.6,-0.017,0.042,0.316,8,308.7669804611341,60.1458326908502,1,0
35,3726.22,2944.82,18.073,0.007,2.71,153.9,-0.035,0.023,0.307,18.159,0.008,2.88,142.5,-0.046,-0.015,0.294,8,308.74024250783117,60.14086461056184,1,0
36,747.87,3622.82,19.266,0.01,2.47,111.0,-0.043,0.017,0.001,17.719,0.003,1.9,312.2,-0.007,0.001,0.001,8,308.75844280141314,60.17323824136816,1,1
37,3262.22,3428.96,18.139,0.006,2.17,181.5,-0.025,0.039,0.176,18.323,0.006,2.36,176.4,-0.049,0.022,0.195,8,308.73571729711375,60.14789251430939,1,0
38,4125.4,3901.43,19.626,0.013,2.33,83.3,-0.061,0.045,0.018,17.614,0.004,1.96,251.9,-0.008,0.026,0.025,8,308.7174456686509,60.142014703471396,1,1
39,3282.05,924.01,18.215,0.005,2.01,209.4,-0.023,0.008,0.236,18.298,0.004,1.38,287.0,-0.021,0.022,0.254,8,308.78418792615145,60.134561822097375,1,0
40,3544.17,3688.76,18.4,0.043,5.63,25.4,-0.093,-0.016,0.153,18.487,0.005,1.81,214.0,-0.046,-0.0,0.149,8,308.72769780562214,60.14652559004122,1,0
41,226.25,985.99,18.283,0.007,2.11,153.1,-0.055,0.016,0.236,18.377,0.006,2.2,177.9,-0.052,0.047,0.232,8,308.8152211211566,60.16444293220299,1,0
42,1360.24,3893.15,18.145,0.007,2.68,152.7,-0.035,0.019,0.273,18.42,0.006,1.94,193.9,-0.031,0.025,0.301,8,308.7467283008713,60.16873074433898,1,0
43,1301.79,2929.0,18.183,0.008,3.04,131.7,-0.044,0.017,0.275,18.428,0.007,2.39,161.7,-0.023,0.03,0.264,8,308.7660961007521,60.164239663974776,1,0
44,3876.84,1489.99,18.331,0.004,1.63,263.1,-0.02,0.033,0.112,18.209,0.003,1.32,321.8,-0.034,0.027,0.087,8,308.76692566642066,60.13177782257186,1,0
45,2598.46,3139.99,18.465,0.02,3.67,55.3,-0.032,0.008,0.367,18.485,0.005,1.49,236.9,-0.009,0.007,0.444,8,308.7483266744447,60.152800501280396,1,0
46,3352.79,491.8,19.668,0.012,1.92,93.6,-0.046,0.023,0.028,17.994,0.004,1.93,270.1,0.034,0.027,0.022,8,308.79183753055247,60.13160877906499,1,1
47,1121.35,3301.69,18.254,0.009,2.26,121.4,0.003,0.052,0.429,18.404,0.005,1.5,205.6,-0.018,0.017,0.451,8,308.7607508270131,60.167940400761005,1,0
48,2451.11,1952.95,18.215,0.005,1.78,233.2,-0.003,0.01,0.302,18.465,0.004,1.44,252.1,-0.001,0.001,0.33,8,308.77295396945874,60.14799980556527,1,0
49,2840.32,3246.79,18.35,0.012,2.33,87.4,-0.039,-0.049,0.177,18.507,0.006,2.13,176.9,-0.047,0.037,0.262,8,308.74370238070765,60.151020167043306,1,0
50,3796.44,3169.49,18.337,0.011,2.64,96.0,-0.006,0.049,0.607,18.44,0.013,3.5,83.9,-0.013,0.06,0.766,8,308.7351363117939,60.141362792687566,0,0
51,2455.32,379.92,18.324,0.006,2.35,167.1,-0.04,0.014,0.305,18.492,0.007,2.49,148.9,-0.059,0.006,0.288,8,308.8034741483352,60.139701797387026,1,0
52,1801.14,2633.11,18.327,0.008,2.65,136.4,-0.032,0.016,0.326,18.429,0.006,2.06,179.5,-0.031,0.029,0.333,8,308.76658448839055,60.15785637032385,1,0
53,1914.95,2106.87,18.224,0.01,4.1,107.4,-0.135,0.063,0.057,18.474,0.012,3.37,93.3,-0.135,0.114,0.05,8,308.77561479440965,60.153994277036475,1,0
54,2416.16,682.89,18.414,0.004,1.29,294.7,-0.007,0.012,0.223,18.533,0.004,1.47,244.8,-0.032,0.036,0.225,8,308.798001523369,60.141671480888654,1,0
55,3813.98,3815.61,18.334,0.016,4.79,66.6,-0.015,0.097,0.765,18.559,0.026,7.03,42.4,-0.034,0.065,0.784,8,308.7223915278695,60.14457909052874,0,0
56,3346.07,356.88,18.454,0.005,1.81,213.9,-0.04,0.033,0.167,18.474,0.006,1.96,195.9,-0.041,-0.008,0.182,8,308.79452881068204,60.130965446535036,1,0
57,662.03,591.96,18.381,0.01,3.37,113.0,-0.122,0.048,0.097,18.498,0.009,2.21,116.0,-0.14,0.028,0.079,8,308.8182783844547,60.158158642338115,1,0
58,3637.26,1085.07,18.406,0.006,2.29,169.6,-0.052,0.015,0.223,18.586,0.006,2.14,169.2,-0.065,0.023,0.231,8,308.7773157762612,60.1319709751887,1,0
59,1910.34,3950.05,18.593,0.025,5.09,42.7,-0.126,0.128,0.695,18.596,0.027,7.07,40.8,-0.091,0.207,0.82,8,308.7398243818801,60.163706029282785,0,0
60,3797.42,3168.07,18.484,0.024,4.47,46.2,-0.033,0.057,0.721,18.668,0.014,3.79,75.3,-0.043,0.032,0.722,8,308.73515359538476,60.14134586616698,0,0
61,184.13,1676.92,18.565,0.005,1.68,220.1,-0.017,0.049,0.133,18.508,0.007,2.11,151.0,-0.061,-0.052,0.129,8,308.802233809453,60.16847925115591,1,0
62,3809.27,1492.02,18.619,0.006,1.8,189.1,-0.014,0.009,0.287,18.467,0.005,1.58,219.4,-0.013,0.041,0.346,8,308.7675980476381,60.13244218259802,1,0
63,1992.04,1913.03,18.683,0.007,2.1,160.0,-0.02,0.009,0.28,18.548,0.005,1.66,213.9,-0.004,0.001,0.314,8,308.77856973657305,60.15223131901156,1,0
64,2828.0,801.78,18.705,0.008,2.41,129.7,-0.041,0.041,0.263,18.697,0.006,1.77,189.9,-0.043,0.008,0.242,8,308.7913489417735,60.138312205677174,1,0
65,3738.87,1702.53,18.687,0.011,3.26,100.5,-0.049,0.052,0.333,18.686,0.008,2.46,133.0,-0.058,0.081,0.343,8,308.7642499474685,60.13422761943638,1,0
66,3439.09,3127.9,18.549,0.008,2.39,136.9,-0.054,0.02,0.077,18.806,0.005,1.64,208.0,-0.054,0.009,0.06,8,308.7397073549577,60.144602835864845,1,0
67,2512.0,456.94,18.691,0.009,2.87,122.7,-0.086,0.034,0.114,18.714,0.008,2.62,135.6,-0.093,0.037,0.135,8,308.8013801679859,60.139558061779994,1,0
68,2261.84,2141.76,18.666,0.007,2.18,154.9,-0.007,0.029,0.231,18.803,0.006,1.81,183.5,-0.02,0.044,0.249,8,308.77127940215064,60.150821510092484,1,0
69,993.26,2281.01,18.932,0.023,2.56,48.1,-0.041,0.03,0.145,18.832,0.007,2.17,156.6,-0.066,0.06,0.121,8,308.7819499797977,60.1638242527068,1,0
70,3099.7,3518.21,20.032,0.01,1.85,103.5,-0.034,-0.007,0.004,18.165,0.004,1.61,293.0,0.005,0.056,0.006,8,308.7356935571467,60.14993304395087,1,1
71,1964.47,3272.95,18.74,0.024,3.97,46.1,-0.1,-0.0,0.817,19.016,0.043,7.5,25.2,-0.055,0.062,0.812,8,308.75242196374063,60.15963213647916,0,0
72,1475.88,1459.73,18.736,0.009,2.45,119.3,-0.026,0.048,0.326,18.892,0.01,2.66,108.4,-0.057,0.089,0.324,8,308.792824147982,60.154844851413344,1,0
73,3191.11,439.9,18.791,0.01,2.84,109.1,-0.083,0.038,0.152,18.812,0.009,2.91,116.1,-0.094,0.074,0.158,8,308.79455003223774,60.132900153556406,1,0
74,2736.82,3112.24,18.864,0.012,1.81,90.6,-0.016,0.031,0.238,19.001,0.008,1.99,140.3,-0.007,0.05,0.381,8,308.7474085297656,60.15131621183779,1,0
75,496.21,3727.96,18.9,0.012,2.19,89.3,-0.04,-0.004,0.311,18.912,0.006,1.69,175.1,-0.032,0.026,0.279,8,308.7590514020533,60.176224568182576,1,0
76,720.99,2060.08,18.771,0.006,1.79,179.5,-0.016,0.029,0.289,18.793,0.005,1.44,210.6,-0.018,0.001,0.361,8,308.78911806409803,60.16529831264968,1,0
77,497.17,1117.96,18.717,0.007,1.98,154.8,-0.0,0.042,0.351,18.875,0.008,2.07,140.2,-0.002,0.034,0.376,8,308.80979553099706,60.16251609162842,1,0
78,1374.83,2244.42,19.894,0.01,1.79,106.8,-0.034,0.011,0.013,18.373,0.004,1.65,258.5,0.04,0.026,0.014,8,308.7786366117573,60.15994109542811,1,1
79,262.99,3552.79,18.992,0.062,4.93,17.5,-0.072,-0.031,0.842,19.089,0.017,3.84,64.9,-0.052,0.01,0.578,8,308.7649190267421,60.177562122865716,0,0
80,2454.25,2761.93,18.709,0.015,3.69,74.3,-0.111,0.035,0.06,19.049,0.008,2.28,133.6,-0.068,-0.001,0.053,8,308.7571961073935,60.15221325373154,1,0
81,3798.35,3169.68,18.865,0.042,4.45,26.0,-0.01,-0.016,0.943,19.099,0.026,5.02,42.4,0.008,0.05,0.943,8,308.73511251016356,60.141345305286954,0,0
82,1383.33,988.97,18.867,0.01,2.73,105.9,-0.029,0.056,0.418,18.926,0.01,2.54,112.4,-0.018,0.065,0.409,8,308.8029497606234,60.15326818607368,1,0
83,2854.02,2850.89,18.858,0.014,3.89,78.3,-0.114,0.053,0.112,18.922,0.014,3.98,78.2,-0.136,0.053,0.104,8,308.7512545390312,60.14881177323961,1,0
84,3117.73,2363.01,19.878,0.012,2.03,94.2,-0.03,-0.004,0.02,18.473,0.004,1.54,258.8,0.015,0.024,0.032,8,308.75795927090815,60.14370160817645,1,1
85,2055.96,3229.07,18.983,0.012,1.85,88.6,-0.021,0.003,0.276,19.02,0.007,1.71,163.9,-0.013,0.033,0.311,8,308.75231102194226,60.15851679409223,1,0
86,3243.22,901.84,18.927,0.009,2.49,120.2,-0.048,0.049,0.221,18.981,0.008,2.31,129.5,-0.054,0.033,0.245,8,308.7850278761308,60.134821066919216,1,0
87,1696.08,1624.07,18.925,0.005,1.5,205.0,-0.012,0.014,0.214,18.932,0.004,0.92,307.5,-0.017,0.005,0.199,8,308.787307262997,60.15357762371859,1,0
88,3099.05,2140.32,18.842,0.03,6.58,36.3,-0.014,0.125,0.941,19.091,0.045,8.4,24.1,-0.031,0.13,1.102,8,308.76248394493706,60.142714288672686,0,0
89,3980.09,1966.75,18.916,0.007,1.85,165.5,-0.017,0.031,0.259,18.988,0.006,1.68,175.8,-0.031,-0.008,0.232,8,308.7565756782216,60.13327968096064,1,0
90,3946.1,874.97,18.946,0.005,1.36,206.0,-0.017,0.032,0.384,19.055,0.005,1.19,223.1,-0.019,0.03,0.393,8,308.7781425066298,60.12788078767076,1,0
91,1639.76,2246.04,18.981,0.051,11.35,21.3,-0.175,0.23,0.678,19.064,0.054,10.78,20.3,-0.167,0.274,0.799,8,308.77581117545657,60.157386724076986,0,0
92,3438.02,980.75,18.962,0.007,1.75,166.1,-0.032,0.01,0.268,19.049,0.005,1.4,210.5,-0.032,0.017,0.252,8,308.7814418542264,60.13335087280637,1,0
93,1266.09,1628.26,18.972,0.012,3.34,88.6,-0.106,0.064,0.258,19.113,0.013,3.38,82.5,-0.124,0.049,0.279,8,308.79176162437693,60.15775882394141,1,0
94,1455.99,457.96,18.949,0.009,2.49,120.8,-0.041,0.018,0.252,19.049,0.007,1.79,165.6,-0.028,0.029,0.226,8,308.812501483626,60.14977652522216,1,0
95,882.34,1322.38,20.255,0.012,1.97,87.5,-0.019,0.035,0.011,18.441,0.005,1.7,232.8,0.044,0.006,0.002,8,308.8017565140696,60.15986450377323,1,1
96,1172.49,2733.92,19.09,0.033,3.65,32.7,-0.083,-0.016,0.381,19.122,0.012,2.38,93.4,-0.003,-0.003,0.384,8,308.77125305645745,60.16446709792048,1,0
97,3974.11,3743.99,19.023,0.007,1.78,156.1,-0.038,0.018,0.12,19.031,0.006,1.85,170.3,-0.039,0.024,0.117,8,308.72209851329256,60.14265406879099,1,0
98,3552.17,857.8,18.922,0.01,2.43,114.1,0.002,0.048,0.469,19.167,0.012,2.67,92.5,-0.009,0.055,0.533,8,308.7826270898288,60.13160136694865,1,0
99,1517.49,2349.63,19.0,0.012,2.49,88.1,-0.009,0.046,0.439,19.173,0.01,2.29,110.5,-0.027,0.021,0.45,8,308.7750866643204,60.15911313348946,1,0
100,263.44,3554.72,19.021,0.018,4.12,59.1,-0.056,0.009,0.582,19.051,0.021,4.71,52.8,-0.048,-0.026,0.595,8,308.76487673365375,60.17756789375945,1,0
101,1472.29,454.32,19.02,0.016,3.51,68.3,0.001,0.049,0.706,19.082,0.015,3.27,70.4,0.021,0.076,0.716,8,308.8124001874995,60.14959976805199,0,0
102,3814.71,3817.65,18.919,0.032,6.9,34.1,-0.029,0.046,0.897,19.114,0.047,8.96,23.1,-0.015,0.129,0.967,8,308.72234418412575,60.14458271436737,0,0
103,2585.33,2320.85,19.076,0.015,3.72,71.6,-0.083,0.038,0.218,19.089,0.01,2.6,105.0,-0.079,0.045,0.222,8,308.7643887182958,60.14863146036984,1,0
104,3047.16,569.81,19.01,0.012,2.91,90.5,-0.024,0.007,0.483,19.107,0.011,2.3,103.3,-0.023,0.004,0.516,8,308.79354437560784,60.134974546246426,1,0
105,3919.82,3713.45,19.173,0.016,2.5,66.5,-0.066,0.096,0.426,19.202,0.009,1.9,125.6,-0.048,0.013,0.434,8,308.7232636113411,60.1430194728031,1,0
106,2280.24,2657.92,18.965,0.013,3.19,86.0,-0.059,0.043,0.19,19.241,0.012,2.82,88.6,-0.066,0.042,0.22,8,308.7610519411216,60.15335130183835,1,0
107,2481.0,1074.84,19.119,0.01,2.6,105.1,-0.068,0.046,0.132,19.115,0.009,2.07,117.5,-0.077,0.04,0.171,8,308.7897026988537,60.143102100493266,1,0
108,428.7,1375.87,19.084,0.011,2.84,95.4,-0.043,0.035,0.371,19.181,0.013,2.66,80.8,-0.057,0.017,0.37,8,308.80550484503914,60.1645328667891,1,0
109,1544.02,3947.05,19.146,0.016,3.21,68.1,-0.085,0.046,0.188,19.209,0.011,2.88,96.4,-0.102,0.077,0.193,8,308.7437429086714,60.16723502891488,1,0
110,339.81,3413.74,18.915,0.046,9.38,23.5,-0.029,0.127,0.948,19.284,0.034,5.85,31.5,0.003,0.051,1.175,8,308.7668136975585,60.17608945634396,0,0
111,600.48,757.07,19.148,0.01,2.12,113.0,-0.025,0.041,0.391,19.278,0.009,2.1,117.8,-0.022,-0.011,0.375,8,308.81571935506526,60.159621273999235,1,0
112,1340.59,1613.77,19.092,0.037,6.08,29.3,-0.052,-0.005,1.326,19.533,0.026,2.84,41.8,-0.043,0.048,1.382,8,308.7912573223915,60.15696214329299,0,0
113,1203.16,838.18,19.138,0.008,1.92,130.9,-0.016,0.059,0.415,19.31,0.009,2.08,115.6,-0.015,0.021,0.436,8,308.80778140950974,60.154218788066096,1,0
114,1273.13,1847.86,19.144,0.01,1.95,114.2,-0.049,0.015,0.099,19.308,0.005,1.28,202.8,-0.037,0.015,0.094,8,308.7874186170058,60.15884351515939,1,0
115,447.13,1123.97,19.198,0.014,3.55,77.2,-0.097,0.019,0.121,19.184,0.011,2.82,96.2,-0.116,0.074,0.141,8,308.81020697674495,60.163031604193,1,0
116,3764.21,2420.14,19.141,0.011,2.25,99.6,-0.006,0.042,0.538,19.266,0.011,2.37,95.2,-0.009,0.031,0.548,8,308.7500393884464,60.13774612114774,1,0
117,3513.14,1290.0,19.215,0.006,1.48,182.5,-0.0,0.008,0.214,19.19,0.005,1.2,225.3,-0.008,0.007,0.233,8,308.77464271126416,60.134247065054296,1,0
118,168.1,2029.59,19.13,0.008,1.92,137.3,-0.011,0.005,0.296,19.314,0.006,1.42,174.7,-0.018,0.062,0.311,8,308.79554576350216,60.17048611143986,1,0
119,2041.28,1996.99,19.154,0.01,2.42,105.9,-0.013,0.013,0.384,19.257,0.009,2.09,119.4,-0.015,0.028,0.395,8,308.7764186179159,60.152195581824714,1,0
120,3105.74,2907.37,19.099,0.024,4.75,44.3,-0.042,0.034,0.882,19.161,0.03,5.74,35.7,-0.022,0.049,1.038,8,308.7475049455919,60.146672293162354,0,0
121,1195.29,4170.47,29.062,6.46,0.71,0.2,-1.374,9.999,0.013,19.341,0.151,20.96,7.2,0.72,-0.086,0.0,8,308.74307222051436,60.17178082907375,0,1
122,1586.27,3568.13,19.31,0.078,6.56,13.9,0.016,0.186,1.163,19.349,0.035,6.46,31.4,-0.122,0.119,0.788,8,308.7506676258906,60.16483942763494,0,0
123,1642.28,480.91,19.214,0.011,2.72,97.3,-0.064,0.022,0.195,19.142,0.009,2.19,124.0,-0.078,0.038,0.234,8,308.81008967887954,60.148095451327855,1,0
124,1822.02,3740.89,19.187,0.01,2.54,107.0,-0.064,-0.009,0.114,19.256,0.007,1.71,165.0,-0.043,0.048,0.1,8,308.7448230638604,60.16346412669693,1,0
125,853.36,3136.53,20.034,0.016,2.42,65.9,0.001,0.092,0.02,18.531,0.012,2.18,87.9,0.056,-0.088,0.029,8,308.7667890535225,60.169666780424436,1,1
126,1455.11,689.98,19.206,0.013,3.23,85.9,-0.051,0.046,0.16,19.344,0.008,1.98,133.1,-0.072,0.034,0.186,8,308.8080024538551,60.1510037239422,1,0
127,4014.23,2618.8,20.323,0.014,2.25,75.2,-0.057,0.018,0.014,18.717,0.006,1.94,184.8,-0.03,0.018,0.02,8,308.7435461023554,60.13636849883182,1,1
128,4149.57,556.87,28.083,2.227,1.67,0.5,-0.404,-0.704,0.037,19.623,0.064,7.23,16.9,0.546,0.169,0.0,8,308.78217654114155,60.12424309047393,0,1
129,3537.1,1456.86,19.338,0.009,1.94,125.6,-0.003,0.009,0.233,19.292,0.011,2.61,100.7,-0.064,0.062,0.216,8,308.77114859930583,60.134890794856254,1,0
130,963.61,758.82,19.254,0.011,2.28,101.2,-0.016,0.013,0.535,19.308,0.012,2.34,94.2,-0.012,0.031,0.577,8,308.81185197525446,60.156118685257205,1,0
131,915.41,2924.74,19.368,0.027,5.2,39.9,-0.115,0.162,0.335,19.33,0.016,3.66,67.4,-0.12,0.074,0.302,8,308.7702535855969,60.16795534437572,1,0
132,3833.39,2971.68,19.331,0.014,2.77,78.2,-0.037,0.01,0.431,19.318,0.01,2.12,109.2,-0.026,-0.005,0.416,8,308.7385920615109,60.13996835464061,1,0
133,3500.08,2230.0,19.112,0.028,6.03,39.2,-0.106,0.035,0.7,19.465,0.032,5.74,34.1,-0.101,0.051,0.82,8,308.75651628162257,60.13930463022838,0,0
134,3179.19,2455.32,19.552,0.054,3.72,20.3,-0.038,-0.014,0.557,19.568,0.012,2.25,92.8,-0.028,0.018,0.469,8,308.7555177115635,60.14359109430309,1,0
135,703.25,1121.25,19.226,0.034,6.27,32.3,-0.036,0.068,0.901,19.411,0.041,6.0,26.6,-0.028,0.069,1.206,8,308.8075561726722,60.16054031587357,0,0
136,1472.48,456.12,19.281,0.02,3.71,54.9,-0.033,0.021,0.806,19.415,0.026,4.51,41.8,-0.04,-0.022,0.864,8,308.8123632085013,60.14960738565098,0,0
137,793.27,3738.82,19.37,0.008,1.47,144.8,-0.017,0.011,0.28,19.401,0.006,1.34,185.9,-0.025,-0.004,0.254,8,308.7557075476725,60.17340736764061,1,0
138,2284.66,1772.57,19.256,0.031,5.34,35.5,-0.001,0.184,1.069,19.424,0.035,5.64,30.9,0.026,0.094,1.149,8,308.77821440646073,60.14866349397165,0,0
139,3907.93,2035.8,19.235,0.013,2.91,85.3,-0.019,0.011,0.386,19.515,0.012,2.33,93.8,-0.022,0.04,0.435,8,308.75599404568675,60.13434000066899,1,0
140,4083.77,4365.06,20.404,0.016,1.66,66.9,0.004,0.014,0.081,18.383,0.005,1.07,220.1,0.001,-0.044,0.084,8,308.70886977019416,60.14484626400249,1,1
141,1222.94,1854.22,20.769,0.017,2.14,64.2,0.009,0.012,0.01,18.867,0.005,1.59,220.4,0.029,0.004,0.004,8,308.7878244443812,60.15936238525168,1,1
142,186.31,1387.96,19.333,0.014,2.48,78.6,-0.011,0.016,0.386,19.445,0.009,1.74,124.5,-0.007,0.043,0.425,8,308.80782869743945,60.16694062163398,1,0
143,349.2,754.73,19.42,0.014,3.09,80.1,-0.036,0.034,0.183,19.413,0.011,2.61,95.6,-0.093,0.009,0.169,8,308.81841794504896,60.16203901028428,1,0
144,2196.22,3043.55,19.634,0.034,3.57,31.7,-0.014,0.123,0.679,19.516,0.012,2.33,87.3,-0.018,0.038,0.584,8,308.75444012493324,60.156186783986136,1,0
145,3604.95,2786.59,19.24,0.038,6.55,28.7,-0.072,0.166,0.989,19.529,0.042,6.4,26.0,-0.05,0.075,1.137,8,308.7445948512227,60.14120855059088,0,0
146,1470.71,455.3,19.436,0.025,3.9,43.0,-0.02,0.054,0.981,19.391,0.037,4.89,29.1,0.002,0.069,0.958,8,308.8123978205598,60.149620195965824,0,0
147,1657.2,806.08,19.37,0.02,3.9,53.9,-0.022,0.035,0.618,19.572,0.018,3.25,61.1,-0.013,0.027,0.618,8,308.80361407559633,60.14965895161121,1,0
148,2240.67,830.6,19.41,0.014,2.62,77.9,-0.038,0.036,0.526,19.558,0.013,2.26,86.6,-0.041,0.033,0.559,8,308.7969826335867,60.14414442131743,1,0
149,997.67,1416.8,19.43,0.016,3.26,66.1,-0.014,0.089,0.489,19.533,0.016,2.97,69.5,-0.005,0.146,0.544,8,308.79870412270253,60.15924484227612,1,0
